"module name","licenses","repository","licenseUrl","parents"
"@alloc/quick-lru@5.2.0","MIT","https://github.com/sindresorhus/quick-lru","https://github.com/sindresorhus/quick-lru/raw/master/license","mobile-app"
"@ampproject/remapping@2.3.0","Apache-2.0","https://github.com/ampproject/remapping","https://github.com/ampproject/remapping/raw/master/LICENSE","mobile-app"
"@babel/code-frame@7.10.4","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","@expo/config:mobile-app"
"@babel/code-frame@7.24.2","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/compat-data@7.24.4","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/core@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/generator@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-annotate-as-pure@7.22.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-builder-binary-assignment-operator-visitor@7.22.15","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-compilation-targets@7.23.6","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-create-class-features-plugin@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-create-regexp-features-plugin@7.22.15","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-define-polyfill-provider@0.6.2","MIT","https://github.com/babel/babel-polyfills","https://github.com/babel/babel-polyfills/raw/master/LICENSE","mobile-app"
"@babel/helper-environment-visitor@7.22.20","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-function-name@7.23.0","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-hoist-variables@7.22.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-member-expression-to-functions@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-module-imports@7.18.6","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","nativewind:mobile-app"
"@babel/helper-module-imports@7.24.3","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-module-transforms@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-optimise-call-expression@7.22.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-plugin-utils@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-remap-async-to-generator@7.22.20","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-replace-supers@7.24.1","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-simple-access@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-skip-transparent-expression-wrappers@7.22.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-split-export-declaration@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-string-parser@7.24.1","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-validator-identifier@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-validator-option@7.23.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helper-wrap-function@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/helpers@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/highlight@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
"@babel/parser@7.24.5","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","mobile-app"
